finding_id,provider,resource_id,region,control_domain,framework,severity,compliance_status,owner,age_days,remediation_status,mfa_enabled,public_exposure,encryption_enabled,severity_rank,is_noncompliant,is_high_risk,is_open_risk,risk_score
FND-0001,AWS,AWS-RES-0001,eu-west-2,Identity & Access,ISO 27001,Medium,Exception,Cloud Ops,46,In Progress,0.0,,,2,0,0,1,2.51
FND-0002,Azure,Azure-RES-0002,West Europe,Logging & Monitoring,CIS,Low,Compliant,Security,183,Not Required,,,,1,0,0,0,3.03
FND-0003,AWS,AWS-RES-0003,us-east-1,Network Security,CIS,Medium,Compliant,Cloud Ops,262,Not Required,,0.0,,2,0,0,0,4.91
FND-0004,AWS,AWS-RES-0004,eu-west-2,Network Security,CIS,Medium,Non-Compliant,Cloud Ops,25,Open,,0.0,,2,1,0,1,4.28
FND-0005,AWS,AWS-RES-0005,us-east-1,Network Security,NIST,Critical,Non-Compliant,Security,24,Open,,0.0,,4,1,1,1,8.27
FND-0006,AWS,AWS-RES-0006,eu-west-1,Configuration,NIST,High,Compliant,Platform,249,Not Required,,,,3,0,1,0,5.77
FND-0007,Azure,Azure-RES-0007,West Europe,Logging & Monitoring,CIS,Medium,Compliant,Security,169,Not Required,,,,2,0,0,0,3.88
FND-0008,Azure,Azure-RES-0008,West Europe,Logging & Monitoring,ISO 27001,Medium,Compliant,Cloud Ops,246,Not Required,,,,2,0,0,0,4.73
FND-0009,Azure,Azure-RES-0009,East US,Logging & Monitoring,CIS,Low,Compliant,Security,355,Not Required,,,,1,0,0,0,4.0
FND-0010,Azure,Azure-RES-0010,East US,Configuration,CIS,Low,Compliant,Platform,338,Not Required,,,,1,0,0,0,4.0
FND-0011,AWS,AWS-RES-0011,eu-west-1,Network Security,ISO 27001,High,Non-Compliant,Platform,275,Remediated,,0.0,,3,1,1,0,9.0
FND-0012,Azure,Azure-RES-0012,East US,Identity & Access,NIST,Medium,Compliant,IAM,192,Not Required,1.0,,,2,0,0,0,4.13
FND-0013,Azure,Azure-RES-0013,UK South,Identity & Access,CIS,Low,Compliant,Cloud Ops,153,Not Required,1.0,,,1,0,0,0,2.7
FND-0014,AWS,AWS-RES-0014,eu-west-2,Logging & Monitoring,ISO 27001,High,Compliant,Network,353,Not Required,,,,3,0,1,0,6.0
FND-0015,AWS,AWS-RES-0015,eu-west-1,Backup & Recovery,CIS,High,Non-Compliant,Cloud Ops,133,Accepted Risk,,,,3,1,1,0,7.48
FND-0016,AWS,AWS-RES-0016,eu-west-1,Data Protection,CIS,High,Compliant,IAM,282,Not Required,,,1.0,3,0,1,0,6.0
FND-0017,AWS,AWS-RES-0017,eu-west-1,Data Protection,NIST,Critical,Exception,Network,23,Remediated,,,1.0,4,0,1,0,4.26
FND-0018,Azure,Azure-RES-0018,West Europe,Logging & Monitoring,CIS,Medium,Non-Compliant,Cloud Ops,292,Open,,,,2,1,0,1,7.0
FND-0019,AWS,AWS-RES-0019,eu-west-1,Data Protection,ISO 27001,High,Compliant,Security,118,Not Required,,,1.0,3,0,1,0,4.31
FND-0020,Azure,Azure-RES-0020,UK South,Configuration,CIS,High,Compliant,Platform,79,Not Required,,,,3,0,1,0,3.88
FND-0021,AWS,AWS-RES-0021,us-east-1,Identity & Access,ISO 27001,Low,Compliant,IAM,220,Not Required,0.0,,,1,0,0,0,3.44
FND-0022,Azure,Azure-RES-0022,West Europe,Configuration,CIS,Medium,Compliant,Cloud Ops,109,Not Required,,,,2,0,0,0,3.21
FND-0023,Azure,Azure-RES-0023,UK South,Configuration,CIS,High,Compliant,Network,138,Not Required,,,,3,0,1,0,4.53
FND-0024,Azure,Azure-RES-0024,UK South,Identity & Access,ISO 27001,Critical,Compliant,Security,326,Not Required,1.0,,,4,0,1,0,7.0
FND-0025,Azure,Azure-RES-0025,UK South,Data Protection,ISO 27001,Low,Compliant,Security,264,Not Required,,,1.0,1,0,0,0,3.93
FND-0026,Azure,Azure-RES-0026,East US,Identity & Access,ISO 27001,Medium,Compliant,Platform,289,Not Required,1.0,,,2,0,0,0,5.0
FND-0027,AWS,AWS-RES-0027,us-east-1,Identity & Access,ISO 27001,Critical,Exception,Network,75,In Progress,0.0,,,4,0,1,1,4.83
FND-0028,Azure,Azure-RES-0028,UK South,Data Protection,CIS,Low,Compliant,IAM,22,Not Required,,,1.0,1,0,0,0,1.24
FND-0029,AWS,AWS-RES-0029,eu-west-2,Identity & Access,CIS,Medium,Non-Compliant,Cloud Ops,47,Accepted Risk,1.0,,,2,1,0,0,4.52
FND-0030,Azure,Azure-RES-0030,East US,Data Protection,CIS,Medium,Exception,Security,361,Accepted Risk,,,0.0,2,0,0,0,5.0
FND-0031,AWS,AWS-RES-0031,eu-west-2,Logging & Monitoring,ISO 27001,Critical,Compliant,Cloud Ops,102,Not Required,,,,4,0,1,0,5.13
FND-0032,Azure,Azure-RES-0032,UK South,Identity & Access,ISO 27001,Low,Compliant,Security,275,Not Required,1.0,,,1,0,0,0,4.0
FND-0033,Azure,Azure-RES-0033,UK South,Identity & Access,NIST,Medium,Compliant,IAM,18,Not Required,1.0,,,2,0,0,0,2.2
FND-0034,Azure,Azure-RES-0034,UK South,Network Security,ISO 27001,Critical,Compliant,Security,62,Not Required,,0.0,,4,0,1,0,4.69
FND-0035,AWS,AWS-RES-0035,us-east-1,Logging & Monitoring,NIST,Medium,Compliant,Network,345,Not Required,,,,2,0,0,0,5.0
FND-0036,AWS,AWS-RES-0036,eu-west-2,Logging & Monitoring,CIS,Critical,Non-Compliant,Cloud Ops,304,In Progress,,,,4,1,1,1,11.0
FND-0037,Azure,Azure-RES-0037,UK South,Backup & Recovery,CIS,Medium,Non-Compliant,Platform,170,Remediated,,,,2,1,0,0,5.89
FND-0038,AWS,AWS-RES-0038,eu-west-1,Identity & Access,CIS,Low,Compliant,Cloud Ops,102,Not Required,1.0,,,1,0,0,0,2.13
FND-0039,Azure,Azure-RES-0039,UK South,Identity & Access,ISO 27001,Medium,Compliant,IAM,270,Not Required,1.0,,,2,0,0,0,5.0
FND-0040,Azure,Azure-RES-0040,West Europe,Backup & Recovery,ISO 27001,Medium,Non-Compliant,Platform,196,Open,,,,2,1,0,1,6.18
FND-0041,AWS,AWS-RES-0041,eu-west-2,Network Security,ISO 27001,Medium,Compliant,Network,257,Not Required,,0.0,,2,0,0,0,4.86
FND-0042,AWS,AWS-RES-0042,eu-west-2,Logging & Monitoring,NIST,Medium,Compliant,IAM,20,Not Required,,,,2,0,0,0,2.22
FND-0043,AWS,AWS-RES-0043,us-east-1,Logging & Monitoring,CIS,Medium,Compliant,Cloud Ops,270,Not Required,,,,2,0,0,0,5.0
FND-0044,Azure,Azure-RES-0044,West Europe,Data Protection,CIS,High,Compliant,Cloud Ops,249,Not Required,,,1.0,3,0,1,0,5.77
FND-0045,Azure,Azure-RES-0045,West Europe,Backup & Recovery,ISO 27001,Medium,Compliant,Cloud Ops,229,Not Required,,,,2,0,0,0,4.54
FND-0046,AWS,AWS-RES-0046,eu-west-1,Data Protection,CIS,Critical,Compliant,Security,45,Not Required,,,1.0,4,0,1,0,4.5
FND-0047,AWS,AWS-RES-0047,us-east-1,Data Protection,NIST,Low,Compliant,Platform,282,Not Required,,,1.0,1,0,0,0,4.0
